CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
41553745,HOP SHING RESTAURANT,MANHATTAN,9,CHATHAM SQUARE,10038,2122670220,Chinese,01/12/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,17,B,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
41553745,HOP SHING RESTAURANT,MANHATTAN,9,CHATHAM SQUARE,10038,2122670220,Chinese,01/12/2015,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,17,B,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
41575449,MIDNIGHT EXPRESS,MANHATTAN,1715,2 AVENUE,10128,2128602320,American ,01/12/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,15,B,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
41575449,MIDNIGHT EXPRESS,MANHATTAN,1715,2 AVENUE,10128,2128602320,American ,01/12/2015,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,15,B,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
41575449,MIDNIGHT EXPRESS,MANHATTAN,1715,2 AVENUE,10128,2128602320,American ,01/12/2015,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,15,B,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
41575449,MIDNIGHT EXPRESS,MANHATTAN,1715,2 AVENUE,10128,2128602320,American ,01/12/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,15,B,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
41544542,PRET A MANGER,MANHATTAN,389,5 AVENUE,10016,2124018686,Soups & Sandwiches,01/12/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,01/12/2015,02/21/2016,Cycle Inspection / Initial Inspection
41560911,ANTALIA TURKISH CUISINE,MANHATTAN,17,WEST   45 STREET,10036,2122213333,Turkish,01/12/2015,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
41560911,ANTALIA TURKISH CUISINE,MANHATTAN,17,WEST   45 STREET,10036,2122213333,Turkish,01/12/2015,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,12,A,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
41560911,ANTALIA TURKISH CUISINE,MANHATTAN,17,WEST   45 STREET,10036,2122213333,Turkish,01/12/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,12,A,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
41512057,LA BERGAMOTE,MANHATTAN,177,9 AVENUE,10011,2126279010,French,01/12/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A,01/12/2015,02/21/2016,Cycle Inspection / Initial Inspection
41481494,JACK STUDIOS,MANHATTAN,601,WEST   26 STREET,10001,2123678376,American ,01/12/2015,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,20,,,02/21/2016,Cycle Inspection / Initial Inspection
41481494,JACK STUDIOS,MANHATTAN,601,WEST   26 STREET,10001,2123678376,American ,01/12/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,20,,,02/21/2016,Cycle Inspection / Initial Inspection
41481494,JACK STUDIOS,MANHATTAN,601,WEST   26 STREET,10001,2123678376,American ,01/12/2015,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,20,,,02/21/2016,Cycle Inspection / Initial Inspection
41487544,NANOOSH,MANHATTAN,173,MADISON AVENUE,10016,2124474345,Mediterranean,01/12/2015,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,11,A,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
41487544,NANOOSH,MANHATTAN,173,MADISON AVENUE,10016,2124474345,Mediterranean,01/12/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
41487544,NANOOSH,MANHATTAN,173,MADISON AVENUE,10016,2124474345,Mediterranean,01/12/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,11,A,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
41460077,5 NAPKIN BURGER,MANHATTAN,2315,BROADWAY,10024,2123334488,Hamburgers,01/12/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,15,,,02/21/2016,Cycle Inspection / Initial Inspection
41460077,5 NAPKIN BURGER,MANHATTAN,2315,BROADWAY,10024,2123334488,Hamburgers,01/12/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,15,,,02/21/2016,Cycle Inspection / Initial Inspection
41460077,5 NAPKIN BURGER,MANHATTAN,2315,BROADWAY,10024,2123334488,Hamburgers,01/12/2015,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,15,,,02/21/2016,Cycle Inspection / Initial Inspection
41470773,DUNKIN' DONUTS,MANHATTAN,535,AMSTERDAM AVENUE,10024,2125951682,Donuts,01/12/2015,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,5,A,01/12/2015,02/21/2016,Cycle Inspection / Initial Inspection
41453860,SPICE,MANHATTAN,236       ,8 AVENUE                                          ,10011,2126204585,Thai,01/12/2015,Violations were cited in the following area(s).,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,,,,02/21/2016,Trans Fat / Re-inspection
41453860,SPICE,MANHATTAN,236       ,8 AVENUE                                          ,10011,2126204585,Thai,01/12/2015,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,,,,02/21/2016,Smoke-Free Air Act / Re-inspection
41453860,SPICE,MANHATTAN,236       ,8 AVENUE                                          ,10011,2126204585,Thai,01/12/2015,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,12,A,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
41453860,SPICE,MANHATTAN,236       ,8 AVENUE                                          ,10011,2126204585,Thai,01/12/2015,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,12,A,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
41405535,TWO BOOTS ,MANHATTAN,625       ,9 AVENUE                                          ,10036,2129562668,Pizza,01/12/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
41405535,TWO BOOTS ,MANHATTAN,625       ,9 AVENUE                                          ,10036,2129562668,Pizza,01/12/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
41405535,TWO BOOTS ,MANHATTAN,625       ,9 AVENUE                                          ,10036,2129562668,Pizza,01/12/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
41416781,RYEHOUSE,MANHATTAN,11,WEST 17 STREET,10011,2122557260,American ,01/12/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,31,,,02/21/2016,Cycle Inspection / Initial Inspection
41416781,RYEHOUSE,MANHATTAN,11,WEST 17 STREET,10011,2122557260,American ,01/12/2015,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,31,,,02/21/2016,Cycle Inspection / Initial Inspection
41416781,RYEHOUSE,MANHATTAN,11,WEST 17 STREET,10011,2122557260,American ,01/12/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,31,,,02/21/2016,Cycle Inspection / Initial Inspection
41416781,RYEHOUSE,MANHATTAN,11,WEST 17 STREET,10011,2122557260,American ,01/12/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,31,,,02/21/2016,Cycle Inspection / Initial Inspection
41416781,RYEHOUSE,MANHATTAN,11,WEST 17 STREET,10011,2122557260,American ,01/12/2015,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,31,,,02/21/2016,Cycle Inspection / Initial Inspection
41416781,RYEHOUSE,MANHATTAN,11,WEST 17 STREET,10011,2122557260,American ,01/12/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,31,,,02/21/2016,Cycle Inspection / Initial Inspection
41394237,GOLDEN CITY CHINESE RESTAURANT,MANHATTAN,423,9 AVENUE,10001,2126439232,Chinese,01/12/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,,,02/21/2016,Cycle Inspection / Initial Inspection
41394237,GOLDEN CITY CHINESE RESTAURANT,MANHATTAN,423,9 AVENUE,10001,2126439232,Chinese,01/12/2015,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,12,,,02/21/2016,Cycle Inspection / Initial Inspection
41394237,GOLDEN CITY CHINESE RESTAURANT,MANHATTAN,423,9 AVENUE,10001,2126439232,Chinese,01/12/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,,,02/21/2016,Cycle Inspection / Initial Inspection
41386737,MET LIFE,MANHATTAN,1095,AVENUE OF THE AMERICAS,10036,2125789210,American ,01/12/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
41386737,MET LIFE,MANHATTAN,1095,AVENUE OF THE AMERICAS,10036,2125789210,American ,01/12/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
41412582,WRAPIDO,MANHATTAN,171,WEST   23 STREET,10011,2129299300,Mediterranean,01/12/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,15,,,02/21/2016,Cycle Inspection / Initial Inspection
41412582,WRAPIDO,MANHATTAN,171,WEST   23 STREET,10011,2129299300,Mediterranean,01/12/2015,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,15,,,02/21/2016,Cycle Inspection / Initial Inspection
41412582,WRAPIDO,MANHATTAN,171,WEST   23 STREET,10011,2129299300,Mediterranean,01/12/2015,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,15,,,02/21/2016,Cycle Inspection / Initial Inspection
41412582,WRAPIDO,MANHATTAN,171,WEST   23 STREET,10011,2129299300,Mediterranean,01/12/2015,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,15,,,02/21/2016,Cycle Inspection / Initial Inspection
41426887,MANNY'S ON SECOND,MANHATTAN,1770,2 AVENUE,10128,2124103300,American ,01/12/2015,Violations were cited in the following area(s).,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,,,,02/21/2016,Administrative Miscellaneous / Initial Inspection
41426887,MANNY'S ON SECOND,MANHATTAN,1770,2 AVENUE,10128,2124103300,American ,01/12/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,29,,,02/21/2016,Cycle Inspection / Initial Inspection
41426887,MANNY'S ON SECOND,MANHATTAN,1770,2 AVENUE,10128,2124103300,American ,01/12/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,29,,,02/21/2016,Cycle Inspection / Initial Inspection
41426887,MANNY'S ON SECOND,MANHATTAN,1770,2 AVENUE,10128,2124103300,American ,01/12/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,29,,,02/21/2016,Cycle Inspection / Initial Inspection
41426887,MANNY'S ON SECOND,MANHATTAN,1770,2 AVENUE,10128,2124103300,American ,01/12/2015,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,29,,,02/21/2016,Cycle Inspection / Initial Inspection
41426887,MANNY'S ON SECOND,MANHATTAN,1770,2 AVENUE,10128,2124103300,American ,01/12/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,29,,,02/21/2016,Cycle Inspection / Initial Inspection
41426887,MANNY'S ON SECOND,MANHATTAN,1770,2 AVENUE,10128,2124103300,American ,01/12/2015,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,29,,,02/21/2016,Cycle Inspection / Initial Inspection
41365576,DIG INN,MANHATTAN,275,MADISON AVENUE,10016,2126977867,American ,01/12/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
41365576,DIG INN,MANHATTAN,275,MADISON AVENUE,10016,2126977867,American ,01/12/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,12,A,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
41138581,COLUMBUS AVE DELI & COFE,MANHATTAN,556,COLUMBUS AVENUE,10024,2127219040,Delicatessen,01/12/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
41138581,COLUMBUS AVE DELI & COFE,MANHATTAN,556,COLUMBUS AVENUE,10024,2127219040,Delicatessen,01/12/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,9,A,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
41060193,DUDLEYS,MANHATTAN,85,ORCHARD STREET,10002,2129257355,Australian,01/12/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
41060193,DUDLEYS,MANHATTAN,85,ORCHARD STREET,10002,2129257355,Australian,01/12/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
41060193,DUDLEYS,MANHATTAN,85,ORCHARD STREET,10002,2129257355,Australian,01/12/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,12,A,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
41056433,"DUNKIN' DONUTS, BASKIN ROBBINS",MANHATTAN,1760      ,2 AVENUE                                          ,10128,2128763312,Donuts,01/12/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,01/12/2015,02/21/2016,Cycle Inspection / Re-inspection
